ID;Kname;Kstrasse;KPlz;Kort;Ktyp;Kgruppe;Kart;Latitude;Longitude
10102920;Rewe Glock oHG;ILMENAUER STR. 12;98527;SUHL;KLEINE VM 800 - 1499 QM;LEH;Outlet;50.6116092;10.7084659
10252459;E Aktiv Markt Astor;BAHNHOFSTR. 34;69190;WALLDORF;KLEINE VM 800 - 1499 QM;LEH;Outlet;49.2992934;8.645116
10252499;Konsum Leipzig eG;EILENBURGER STR. 30;04509;DELITZSCH;L E H  400 - 799 QM (SM);LEH;Outlet;51.5236024;12.3387693
10252492;Kaisers 42590;ALTE STR. 1-5;45481;MUEHLHEIM AN DER RUHR;KLEINE VM 800 - 1499 QM;LEH;Outlet;51.40745;6.86868
10252738;0;BAHNSTR. 50-54;0;WILLICH;KLEINE VM 800 - 1499 QM;LEH;Outlet;51.2670998;6.5413841
10252618;Kaisers 80527;HOCHSTR. 67;41372;NIEDERKRUECHTEN;KLEINE VM 800 - 1499 QM;LEH;Outlet;51.2015139;6.2180743
10252749;0;BAHNHOFSTR. 67;0;NEUSS;KLEINE VM 800 - 1499 QM;LEH;Outlet;47.9829649;8.8120446
10101227;E Aktiv Markt Moeller;GAILDORFER STR. 45;74423;OBERSONTHEIM;KLEINE VM 800 - 1499 QM;LEH;Outlet;49.05504;9.89196
10252789;Sky Markt 304;KLUETZER STRASSE;23936;GREVESMUEHLEN;GROSSE VM 1500 - 4999 QM;LEH;Outlet;53.873054;11.1788925
10104510;MGL Metro Group Logistics;HOLZLANDSTR. 1;07629;REICHENBACH;LEBENSMITTEL GH;LEH;Lager / GH;50.86952;11.8585
10140032;E Aktiv Markt Stolzenberger;BROWN-BOVERI-STR. 24;63457;HANAU;KLEINE VM 800 - 1499 QM;LEH;Outlet;50.0955327;8.9509114
10101665;Edeka Ogris;LINDAUER STR. 108;87439;KEMPTEN;KLEINE VM 800 - 1499 QM;LEH;Outlet;47.7174985;10.2958043
10252614;Tengelmann 61380;GLUCKENSTEINWEG 20-24;61350;BAD HOMBURG;KLEINE VM 800 - 1499 QM;LEH;Outlet;50.2340316;8.6086616
10189177;Edeka Frischecenter Brueggemeier;FELDSTR. 68;47623;KEVELAER;GROSSE VM 1500 - 4999 QM;LEH;Outlet;51.5797496;6.2558003
10099692;E Center Schweich;BRUECKENSTR. 2;54338;SCHWEICH;KLEINE VM 800 - 1499 QM;LEH;Outlet;49.8165261;6.7519647
10103451;MGL Metro Group Logistics;AN DER L 437;67578;GIMBSHEIM;LEBENSMITTEL GH;LEH;Lager / GH;49.7698064;8.3805874
10252871;Minipreis-Laeden GmbH;TRIBENSTR. 6;32052;HERFORD;KLEINE VM 800 - 1499 QM;LEH;Outlet;52.113744;8.6743318
10252803;Rewe Regie 766;LUEBSCHE STR. 146-148;23966;WISMAR;KLEINE VM 800 - 1499 QM;LEH;Outlet;53.8932257;11.4453156
10107417;Kaufhof AG FWB 207;HOHE STR. 57;46483;WESEL;KAUFHAUS;LEH;Outlet;51.6569831;6.6175008
10099948;Edeka Celik;NETTELBECKSTR. 8;40477;DUESSELDORF;GROSSE VM 1500 - 4999 QM;LEH;Outlet;51.2366303;6.7830086
10252750;0;TITTMONINGER STR. 43;0;FRIDOLFING;KLEINE VM 800 - 1499 QM;LEH;Outlet;48.0031854;12.8189502
10108632;Sky Markt 703;AM GRUENEN TAL 10-39;19063;SCHWERIN;KLEINE VM 800 - 1499 QM;LEH;Outlet;53.597204;11.4398949
10167004;Wasgau;ALTREUTWEG 7-9;68809;NEULUSSHEIM;KLEINE VM 800 - 1499 QM;LEH;Outlet;49.2843637;8.5197215
10252876;Rewe Regie 064;TIZIANPLATZ 33;64546;MOERFELDEN-WALLDORF;KLEINE VM 800 - 1499 QM;LEH;Outlet;49.97869;8.5638495
10252910;Kaisers 80751;KOENIGSBERGER PLATZ 1;51371;LEVERKUSEN;L E H  400 - 799 QM (SM);LEH;Outlet;51.06391;6.95591
10101922;Rewe Regie 933;ERASMUSSTR. 12-14;28217;BREMEN;KLEINE VM 800 - 1499 QM;LEH;Outlet;53.0901527;8.7858514
10252873;Kaufland 5890-N3;HAUPTSTR. 23;50126;BERGHEIM;GROSSE VM 1500 - 4999 QM;LEH;Outlet;50.9535539;6.6416708
10252788;Rewe Regie 668;BRUEHLSTR. 2;74206;BAD WIMPFEN;GROSSE VM 1500 - 4999 QM;LEH;Outlet;49.2292701;9.189366
10252734;0;HEIDELBERGERSTR. 13;0;GRABEN-NEUDORF;KLEINE VM 800 - 1499 QM;LEH;Outlet;49.8659954;8.6463609
10252664;WEZ 17;KREUZBREITE 14;31675;BUECKEBURG;GROSSE VM 1500 - 4999 QM;LEH;Outlet;52.2645069;9.0675013
10251699;Edeka Siegenburg;OTTO-SCHMIDMAYER-STR. 2;93354;SIEGENBURG;KLEINE VM 800 - 1499 QM;LEH;Outlet;48.7520774;11.8488657
10252412;C&C Schaper  80385;ZUM HUTACKER 9;91056;ERLANGEN;CASH & CARRY;Cash&Carry;Outlet;49.5755513;10.9621883
10252406;Rewe Regie 552;FRAU-VON-SELMNITZ-STR. 4;06110;HALLE (SAALE);KLEINE VM 800 - 1499 QM;LEH;Outlet;51.45766;11.98041
10252872;Kaufland 6870-O4;RESIDENZSTR. 85-88;13409;BERLIN;GROSSE VM 1500 - 4999 QM;LEH;Outlet;52.559096;13.3735169
10252908;Rewe Aupperle oHG;OEFFINGER STR. 1;71334;WAIBLINGEN;KLEINE VM 800 - 1499 QM;LEH;Outlet;48.8345465;9.2639235
10252130;Real,- 86861;HEIFESKAMP 6;45475;MUELHEIM AN DER RUHR;GROSSE VM 1500 - 4999 QM;LEH;Outlet;51.4580618;6.8853609
10252418;Rewe Heidrich oHG;MUEHLENWEG 12;57339;ERNDTEBRUECK;GROSSE VM 1500 - 4999 QM;LEH;Outlet;50.99125;8.25655
10253128;Rewe Grube oHG;BREITE STR. 27;14471;POTSDAM;KLEINE VM 800 - 1499 QM;LEH;Outlet;52.3966312;13.0461104
10103701;Rewe Regie 137;WOLFGANG-BRUMME-ALLEE;71034;BOEBLINGEN;GROSSE VM 1500 - 4999 QM;LEH;Outlet;48.6894931;9.0065552
10144620;E Aktiv Markt Gebauer;EISLINGER STR. 60;73084;SALACH;KLEINE VM 800 - 1499 QM;LEH;Outlet;48.69255;9.7313
10159113;E Aktiv Markt Oser;KARLSTR. 34;76473;IFFEZHEIM;KLEINE VM 800 - 1499 QM;LEH;Outlet;48.8194834;8.1391467
10252991;Rewe Gesell oHG;JAKOBERWALLSTR. 9;86153;AUGSBURG;GROSSE VM 1500 - 4999 QM;LEH;Outlet;48.3692574;10.9105001
10100635;Rewe Markt (Extra 1023);RAIFFEISENSTR. 52;26180;RASTEDE;KLEINE VM 800 - 1499 QM;LEH;Outlet;53.2473626;8.1867411
10190427;Konsum Leipzig eG;GRASSISTRASSE;04107;LEIPZIG;L E H  400 - 799 QM (SM);LEH;Outlet;51.3314038;12.3676628
10210201;Konsum Leipzig eG;GOYSTR. 6;04105;LEIPZIG;L E H  400 - 799 QM (SM);LEH;Outlet;51.3492577;12.3610062
10210226;Konsum Leipzig eG;DANTESTRASSE;04159;LEIPZIG;L E H  400 - 799 QM (SM);LEH;Outlet;51.3683628;12.346112
10254814;Rewe Markt (Extra 2648);ZIEGELMASCH 1;31061;ALFELD;GROSSE VM 1500 - 4999 QM;LEH;Outlet;51.9829491;9.8237198
10252619;Rewe Wuest oHG;BACHSTR. 13-15;94469;DEGGENDORF;L E H  400 - 799 QM (SM);LEH;Outlet;48.8390213;12.9594714
10252877;Edeka Schuberth;WEILHEIMER STR. 10;82343;POECKING;KLEINE VM 800 - 1499 QM;LEH;Outlet;47.9657179;11.298271
10182713;Rewe Mumme oHG;HAUPTSTR. 34;33647;BIELEFELD;KLEINE VM 800 - 1499 QM;LEH;Outlet;51.9877704;8.5152687
10254786;Kaisers 80399;HUMBOLDTRING 13;45472;MUELHEIM AN DER RUHR;KLEINE VM 800 - 1499 QM;LEH;Outlet;51.4381781;6.9545923
10100175;Edeka Greding;KINDINGER STR. 36;91171;GREDING;KLEINE VM 800 - 1499 QM;LEH;Outlet;49.0435509;11.3622567
10253115;Rewe Regie 255;WEILBURGER STR. 34;61250;USINGEN;KLEINE VM 800 - 1499 QM;LEH;Outlet;50.341736;8.5337109
10106130;Edeka Buchbauer GmbH;BAHNHOFSTR. 3;93192;WALD;KLEINE VM 800 - 1499 QM;LEH;Outlet;49.1429504;12.3342587
10253059;E Aktiv Markt Buchbauer;PFINGSTREITERSTRASSE;93444;BAD KOETZING;KLEINE VM 800 - 1499 QM;LEH;Outlet;49.1678003;12.872639
10157950;Rewe Regie 010;BAESTLEINSTR. 4;04347;LEIPZIG;GROSSE VM 1500 - 4999 QM;LEH;Outlet;51.3541484;12.423606
10102557;Rewe Dietzel oHG;BACHSTR. 68-72;07768;KAHLA;KLEINE VM 800 - 1499 QM;LEH;Outlet;50.8036157;11.5856527
10103963;Rewe Regie 492;AM NEUMARKT 1;41564;KAARST;KLEINE VM 800 - 1499 QM;LEH;Outlet;51.225952;6.6204622
10187852;E Neukauf Reichertshausen;PFAFFENHOFENER STR. 8;85293;REICHERTSHAUSEN;KLEINE VM 800 - 1499 QM;LEH;Outlet;48.467785;11.5084345
10252679;Harald Ziehl;LEIMENGRUND 25;72270;BEIERSBRONN;BL GARAGENLAEGER;Übrige;Lager / GH;48.5297351;8.3589899
10207305;Rewe Markt (Extra 1593);WALDSTR. 13;28857;SYKE;GROSSE VM 1500 - 4999 QM;LEH;Outlet;52.9122547;8.8315226
10100531;Edeka Meyer;DINGSTAETTE 5;25421;PINNEBERG;KLEINE VM 800 - 1499 QM;LEH;Outlet;53.6606519;9.7994207
